City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
255,Port-Gentil,GA,82.4,broken clouds,-0.72,8.78,Fengshui Residence
256,Biak,ID,78.26,light rain,-0.91,122.88,Kost Ariz
257,Cidreira,BR,75.97,broken clouds,-30.18,-50.21,Hotel Castelo
264,Lahij,YE,75.27,overcast clouds,13.17,44.58,
268,Mareeba,AU,77.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
270,Xuddur,SO,82.38,broken clouds,4.12,43.89,Banjanay Hotel
275,Karratha,AU,82.98,clear sky,-20.74,116.85,ibis Styles Karratha
276,Mbini,GQ,81.01,light rain,1.57,9.61,
277,Salalah,OM,78.8,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
280,Fare,PF,80.24,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
281,Neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
283,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
284,Jaguey Grande,CU,73.4,moderate rain,22.53,-81.13,El Ranchon
288,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
289,Sinnamary,GF,84.38,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
296,Inirida,CO,82.33,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
300,Alice Springs,AU,82.99,clear sky,-23.7,133.88,Desert Palms Alice Springs
302,Mahebourg,MU,78.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
304,Bandarbeyla,SO,77.29,scattered clouds,9.49,50.81,JABIR HOTEL
309,Hambantota,LK,80.6,clear sky,6.12,81.12,Bungalow 63
312,Haveri,IN,71.56,overcast clouds,14.8,75.4,Shivashakti Palace
318,Adeje,ES,73.4,scattered clouds,28.12,-16.73,Gran Tacande Wellness & Relax
322,Kampot,KH,77.0,clear sky,10.62,104.18,Champa Lodge
324,Narrabri,AU,71.6,broken clouds,-30.32,149.78,Crossroads Hotel
328,Vao,NC,74.05,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
330,Diffa,NE,84.97,scattered clouds,13.32,12.61,ProDAF/Diffa
338,Acajutla,SV,80.6,clear sky,13.59,-89.83,Stop.
339,Faanui,PF,79.79,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
342,Najran,SA,78.8,few clouds,17.49,44.13,محمد هادي ال فطيح
343,Balabac,PH,81.36,overcast clouds,7.99,117.06,Sing and Swing Lodge
347,Kalmunai,LK,79.75,broken clouds,7.42,81.82,VS Villa
349,Obregon,NI,80.6,scattered clouds,11.96,-85.96,Hostal Casa Aryen
358,Madang,PG,75.58,overcast clouds,-5.22,145.8,Comfort Inn Hotel
359,Ihosy,MG,76.06,moderate rain,-22.4,46.12,Hotely Sariaka
362,Labuan,MY,78.8,few clouds,5.28,115.24,Tiara Labuan Hotel
363,Kuala Lipis,MY,73.62,overcast clouds,4.18,102.05,Lipis Centrepoint Hotel
365,Villavicencio,CO,82.13,scattered clouds,4.14,-73.63,Hotel del Llano
366,Boyolangu,ID,77.49,overcast clouds,-8.12,111.89,Yos ega cv
367,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
381,Los Llanos De Aridane,ES,71.6,few clouds,28.66,-17.92,Valle Aridane
382,Vangaindrano,MG,76.84,moderate rain,-23.35,47.6,Hotel Fanilo
383,Richards Bay,ZA,71.01,moderate rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
384,Tra Vinh,VN,73.29,clear sky,9.93,106.35,Hồng Ân
388,Marawi,PH,78.01,overcast clouds,8.0,124.29,Derogongan Residence
389,Lubao,PH,80.6,broken clouds,14.92,120.55,Hacienda Gracia
390,Beloha,MG,74.05,overcast clouds,-25.17,45.05,
396,Niquero,CU,81.27,scattered clouds,20.04,-77.58,
405,Paysandu,UY,79.0,few clouds,-32.32,-58.08,Gran Hotel Paysandú
407,Alofi,NU,73.4,broken clouds,-19.06,-169.92,Taloa Heights
415,Kieta,PG,78.49,overcast clouds,-6.22,155.63,
416,Vanimo,PG,77.97,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
418,Matina,CR,78.8,broken clouds,10.08,-83.29,Hospedaje Lawson
425,Kathu,TH,84.0,scattered clouds,7.92,98.33,Novotel Phuket Resort
429,Acapulco,MX,78.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
439,Tingo Maria,PE,77.0,light rain,-9.29,-76.01,Hospedaje Paraíso
441,Alugan,PH,80.51,broken clouds,12.22,125.48,JM Lodge
444,Manuk Mangkaw,PH,83.08,scattered clouds,4.8,119.85,
445,Nizwa,OM,72.61,clear sky,22.93,57.53,Orient Apartments
453,Bowen,AU,75.2,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
454,Ballina,AU,73.4,moderate rain,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
